model_t,physical_interval,interval_start_min,interval_end_min,source_excel_row,source_label,source_minute,price_yuan_per_kwh,load_kw,pv_kw
101,16:40-16:50,1000,1010,102,16:50,1010,0.9163,5603.6614,1791.0829
102,16:50-17:00,1010,1020,103,17:00,1020,0.9264,5466.7124,1501.7283
103,17:00-17:10,1020,1030,104,17:10,1030,0.9462,5467.3939,1255.1723
104,17:10-17:20,1030,1040,105,17:20,1040,0.9742,5464.727,1036.3323
105,17:20-17:30,1040,1050,106,17:30,1050,0.9862,5492.4458,836.7775
106,17:30-17:40,1050,1060,107,17:40,1060,0.976,5621.7308,665.2313
107,17:40-17:50,1060,1070,108,17:50,1070,1.0742,5091.2126,516.6758
108,17:50-18:00,1070,1080,109,18:00,1080,1.2313,4208.5688,386.6731
109,18:00-18:10,1080,1090,110,18:10,1090,1.2561,4122.7611,275.7933
110,18:10-18:20,1090,1100,111,18:20,1100,1.2447,4255.9358,182.9526
111,18:20-18:30,1100,1110,112,18:30,1110,1.2545,4225.9524,108.3414
112,18:30-18:40,1110,1120,113,18:40,1120,1.2522,4233.3384,54.3121
113,18:40-18:50,1120,1130,114,18:50,1130,1.2881,4246.4625,18.6569
114,18:50-19:00,1130,1140,115,19:00,1140,1.3466,4239.1795,0.2753
115,19:00-19:10,1140,1150,116,19:10,1150,1.3523,4244.6684,0.2296
116,19:10-19:20,1150,1160,117,19:20,1160,1.3445,4251.9187,0.6007
117,19:20-19:30,1160,1170,118,19:30,1170,1.3483,4256.6813,0.0
118,19:30-19:40,1170,1180,119,19:40,1180,1.349,4267.3947,0.0
119,19:40-19:50,1180,1190,120,19:50,1190,1.3473,4269.975,0.0
120,19:50-20:00,1190,1200,121,20:00,1200,1.3482,4268.6702,0.0
121,20:00-20:10,1200,1210,122,20:10,1210,1.3513,4282.2245,0.0
122,20:10-20:20,1210,1220,123,20:20,1220,1.34,4291.7049,0.0
123,20:20-20:30,1220,1230,124,20:30,1230,1.3489,4291.3611,0.0
124,20:30-20:40,1230,1240,125,20:40,1240,1.3952,4293.9182,0.0
125,20:40-20:50,1240,1250,126,20:50,1250,1.2226,4295.2135,0.0
126,20:50-21:00,1250,1260,127,21:00,1260,0.9332,4302.0307,0.0
127,21:00-21:10,1260,1270,128,21:10,1270,0.9068,4320.9618,0.0
128,21:10-21:20,1270,1280,129,21:20,1280,0.9371,4302.3292,0.0
129,21:20-21:30,1280,1290,130,21:30,1290,0.9371,4322.6758,0.0
130,21:30-21:40,1290,1300,131,21:40,1300,0.9871,4428.8083,0.0
131,21:40-21:50,1300,1310,132,21:50,1310,0.7764,4030.1614,0.0
132,21:50-22:00,1310,1320,133,22:00,1320,0.4209,3362.7419,0.0
133,22:00-22:10,1320,1330,134,22:10,1330,0.3859,3309.3934,0.0
134,22:10-22:20,1330,1340,135,22:20,1340,0.4368,3412.9563,0.0
135,22:20-22:30,1340,1350,136,22:30,1350,0.4198,3381.9313,0.0
136,22:30-22:40,1350,1360,137,22:40,1360,0.4186,3386.5592,0.0
137,22:40-22:50,1360,1370,138,22:50,1370,0.4241,3400.4846,0.0
138,22:50-23:00,1370,1380,139,23:00,1380,0.4237,3399.2426,0.0
139,23:00-23:10,1380,1390,140,23:10,1390,0.4248,3406.9809,0.0
140,23:10-23:20,1390,1400,141,23:20,1400,0.424,3416.1518,0.0
141,23:20-23:30,1400,1410,142,23:30,1410,0.422,3421.9811,0.0
142,23:30-23:40,1410,1420,143,23:40,1420,0.424,3429.6923,0.0
143,23:40-23:50,1420,1430,144,23:50,1430,0.4271,3439.061,0.0
144,23:50-24:00,1430,1440,145,0:00+1,1440,0.4276,3444.7259,0.0
